episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
43,SRH,SRH,121.3006,60.0,0.0,0.0,20.0,-10.0,-5.0,105.0,0.0,291.3006,63.3,5,0.6875
45,MI,MI,635.7248,483.0,0.0,0.0,160.0,0.0,-5.0,90.0,0.0,1363.7248,9.24,5,0.9375
45,CSK,CSK,1465.1522,171.0,0.0,0.0,120.0,-10.0,-5.0,165.0,0.0,1906.1522,74.4,3,0.75
45,RCB,RCB,403.9234,588.0,0.0,0.0,200.0,0.0,-5.0,40.0,0.0,1226.9234,0.87,7,0.625
45,KKR,KKR,1962.8106,636.0,0.0,0.0,200.0,0.0,-5.0,360.0,0.0,3153.8106,51.2,1,0.5
45,DC,DC,2086.9424,651.0,0.0,0.0,230.0,0.0,15.0,40.0,0.0,3022.9424,55.6,8,1.0
45,RR,RR,1594.9024,249.0,0.0,0.0,140.0,-10.0,-5.0,135.0,0.0,2103.9024,69.6,4,0.75
45,PBKS,PBKS,1830.826,534.0,0.0,0.0,190.0,0.0,15.0,230.0,0.0,2799.826,49.7,2,1.0
45,SRH,SRH,201.8667,45.0,0.0,0.0,20.0,0.0,-5.0,60.0,0.0,321.8667,62.2,6,0.875
44,MI,MI,635.7248,483.0,0.0,0.0,160.0,0.0,-5.0,90.0,0.0,1363.7248,9.24,5,0.9375
44,CSK,CSK,1465.1522,171.0,0.0,0.0,120.0,-10.0,-5.0,165.0,0.0,1906.1522,74.4,3,0.75
44,RCB,RCB,403.9234,588.0,0.0,0.0,200.0,0.0,-5.0,40.0,0.0,1226.9234,0.87,7,0.625
44,KKR,KKR,1962.8106,636.0,0.0,0.0,200.0,0.0,-5.0,360.0,0.0,3153.8106,51.2,1,0.5
44,DC,DC,2086.9424,651.0,0.0,0.0,230.0,0.0,15.0,40.0,0.0,3022.9424,55.6,8,1.0
44,RR,RR,1594.9024,249.0,0.0,0.0,140.0,-10.0,-5.0,135.0,0.0,2103.9024,69.6,4,0.75
44,PBKS,PBKS,1830.826,534.0,0.0,0.0,190.0,0.0,15.0,230.0,0.0,2799.826,49.7,2,1.0
44,SRH,SRH,201.8667,45.0,0.0,0.0,20.0,0.0,-5.0,60.0,0.0,321.8667,62.2,6,0.875
46,MI,MI,464.5963,615.0,0.0,0.0,200.0,0.0,-5.0,25.0,0.0,1299.5963,0.9,8,0.75
46,CSK,CSK,1705.5235,291.0,0.0,0.0,150.0,-10.0,-5.0,150.0,0.0,2281.5235,62.3,3,0.6875
46,RCB,RCB,498.1368,597.0,0.0,0.0,190.0,0.0,-5.0,105.0,0.0,1385.1368,0.53,5,0.875
46,KKR,KKR,1447.2673,456.0,0.0,0.0,190.0,0.0,-5.0,70.0,0.0,2158.2673,47.9,7,0.5
